Heatmap Array for each maze spot:
X = 0, Y = 0, distance = 10, heatIndex = 160
X = 0, Y = 1, distance = 7, heatIndex = 112
X = 0, Y = 2, distance = 6, heatIndex = 96
X = 0, Y = 3, distance = 5, heatIndex = 80
X = 0, Y = 4, distance = 4, heatIndex = 64
X = 0, Y = 5, distance = 3, heatIndex = 48
X = 0, Y = 6, distance = 4, heatIndex = 64
X = 0, Y = 7, distance = 1, heatIndex = 16
X = 0, Y = 8, distance = 2, heatIndex = 32
X = 0, Y = 9, distance = 3, heatIndex = 48
X = 1, Y = 0, distance = 9, heatIndex = 144
X = 1, Y = 1, distance = 8, heatIndex = 128
X = 1, Y = 2, distance = 7, heatIndex = 112
X = 1, Y = 3, distance = 6, heatIndex = 96
X = 1, Y = 4, distance = 5, heatIndex = 80
X = 1, Y = 5, distance = 2, heatIndex = 32
X = 1, Y = 6, distance = 1, heatIndex = 16
X = 1, Y = 7, distance = 0, heatIndex = 0
X = 1, Y = 8, distance = 1, heatIndex = 16
X = 1, Y = 9, distance = 4, heatIndex = 64
X = 2, Y = 0, distance = 10, heatIndex = 160
X = 2, Y = 1, distance = 9, heatIndex = 144
X = 2, Y = 2, distance = 8, heatIndex = 128
X = 2, Y = 3, distance = 7, heatIndex = 112
X = 2, Y = 4, distance = 6, heatIndex = 96
X = 2, Y = 5, distance = 3, heatIndex = 48
X = 2, Y = 6, distance = 2, heatIndex = 32
X = 2, Y = 7, distance = 1, heatIndex = 16
X = 2, Y = 8, distance = 2, heatIndex = 32
X = 2, Y = 9, distance = 3, heatIndex = 48
X = 3, Y = 0, distance = 11, heatIndex = 176
X = 3, Y = 1, distance = 10, heatIndex = 160
X = 3, Y = 2, distance = 11, heatIndex = 176
X = 3, Y = 3, distance = 8, heatIndex = 128
X = 3, Y = 4, distance = 7, heatIndex = 112
X = 3, Y = 5, distance = 4, heatIndex = 64
X = 3, Y = 6, distance = 3, heatIndex = 48
X = 3, Y = 7, distance = 2, heatIndex = 32
X = 3, Y = 8, distance = 3, heatIndex = 48
X = 3, Y = 9, distance = 4, heatIndex = 64
X = 4, Y = 0, distance = 12, heatIndex = 192
X = 4, Y = 1, distance = 11, heatIndex = 176
X = 4, Y = 2, distance = 12, heatIndex = 192
X = 4, Y = 3, distance = 7, heatIndex = 112
X = 4, Y = 4, distance = 6, heatIndex = 96
X = 4, Y = 5, distance = 5, heatIndex = 80
X = 4, Y = 6, distance = 4, heatIndex = 64
X = 4, Y = 7, distance = 3, heatIndex = 48
X = 4, Y = 8, distance = 4, heatIndex = 64
X = 4, Y = 9, distance = 5, heatIndex = 80
X = 5, Y = 0, distance = 13, heatIndex = 208
X = 5, Y = 1, distance = 10, heatIndex = 160
X = 5, Y = 2, distance = 9, heatIndex = 144
X = 5, Y = 3, distance = 8, heatIndex = 128
X = 5, Y = 4, distance = 7, heatIndex = 112
X = 5, Y = 5, distance = 6, heatIndex = 96
X = 5, Y = 6, distance = 5, heatIndex = 80
X = 5, Y = 7, distance = 6, heatIndex = 96
X = 5, Y = 8, distance = 5, heatIndex = 80
X = 5, Y = 9, distance = 6, heatIndex = 96
X = 6, Y = 0, distance = 12, heatIndex = 192
X = 6, Y = 1, distance = 11, heatIndex = 176
X = 6, Y = 2, distance = 10, heatIndex = 160
X = 6, Y = 3, distance = 9, heatIndex = 144
X = 6, Y = 4, distance = 8, heatIndex = 128
X = 6, Y = 5, distance = 7, heatIndex = 112
X = 6, Y = 6, distance = 6, heatIndex = 96
X = 6, Y = 7, distance = 7, heatIndex = 112
X = 6, Y = 8, distance = 8, heatIndex = 128
X = 6, Y = 9, distance = 7, heatIndex = 112
X = 7, Y = 0, distance = 13, heatIndex = 208
X = 7, Y = 1, distance = 12, heatIndex = 192
X = 7, Y = 2, distance = 11, heatIndex = 176
X = 7, Y = 3, distance = 10, heatIndex = 160
X = 7, Y = 4, distance = 11, heatIndex = 176
X = 7, Y = 5, distance = 10, heatIndex = 160
X = 7, Y = 6, distance = 7, heatIndex = 112
X = 7, Y = 7, distance = 8, heatIndex = 128
X = 7, Y = 8, distance = 9, heatIndex = 144
X = 7, Y = 9, distance = 8, heatIndex = 128
X = 8, Y = 0, distance = 14, heatIndex = 224
X = 8, Y = 1, distance = 15, heatIndex = 240
X = 8, Y = 2, distance = 12, heatIndex = 192
X = 8, Y = 3, distance = 11, heatIndex = 176
X = 8, Y = 4, distance = 10, heatIndex = 160
X = 8, Y = 5, distance = 9, heatIndex = 144
X = 8, Y = 6, distance = 8, heatIndex = 128
X = 8, Y = 7, distance = 9, heatIndex = 144
X = 8, Y = 8, distance = 10, heatIndex = 160
X = 8, Y = 9, distance = 11, heatIndex = 176
X = 9, Y = 0, distance = 15, heatIndex = 240
X = 9, Y = 1, distance = 16, heatIndex = 255
X = 9, Y = 2, distance = 13, heatIndex = 208
X = 9, Y = 3, distance = 12, heatIndex = 192
X = 9, Y = 4, distance = 11, heatIndex = 176
X = 9, Y = 5, distance = 10, heatIndex = 160
X = 9, Y = 6, distance = 9, heatIndex = 144
X = 9, Y = 7, distance = 10, heatIndex = 160
X = 9, Y = 8, distance = 11, heatIndex = 176
X = 9, Y = 9, distance = 12, heatIndex = 192
